Weight_kg,Speed_kmh,Wheelbase_mm,Type,Weekday,Second
1616.05,92.6,3246.99,passenger,Mon,1456.0
1212.36,122.6,2289.66,passenger,Mon,1496.0
1959.28,69.1,2853.91,passenger,Mon,1509.0
1487.35,86.39,3000.56,other,Mon,1514.0
1258.48,109.19,2605.68,passenger,Mon,1536.0
1075.95,124.26,2984.27,passenger,Mon,1584.0
1544.11,99.87,2306.85,passenger,Mon,1607.0
1654.54,104.71,2563.3,other,Mon,1633.0
1104.58,120.11,3429.03,passenger,Mon,1670.0
1340.92,117.9,3354.51,passenger,Mon,1685.0
1101.74,126.36,2878.46,passenger,Mon,1687.0
1650.97,101.92,2316.61,passenger,Mon,1698.0
1232.87,92.83,2880.75,other,Mon,1700.0
1661.57,92.13,3425.95,passenger,Mon,1715.0
1643.27,94.75,2654.17,passenger,Mon,1726.0
1606.0,92.55,2006.33,passenger,Mon,1758.0
1405.03,135.21,2397.1,other,Mon,1763.0
1607.11,93.38,2122.91,passenger,Mon,1784.0
1167.84,100.23,3179.88,passenger,Mon,1784.0
1664.78,107.42,2310.52,passenger,Mon,1795.0
1382.05,119.18,3420.21,passenger,Mon,1848.0
1753.01,74.59,2706.74,passenger,Mon,1857.0
1168.44,93.53,2602.07,other,Mon,1884.0
796.0,147.63,2314.61,passenger,Mon,1884.0
1716.15,72.91,3316.95,passenger,Mon,1891.0
1180.3,122.55,2170.75,passenger,Mon,1895.0
1763.13,71.91,3383.85,passenger,Mon,1905.0
1405.48,112.67,2247.47,passenger,Mon,1920.0
969.39,82.54,2402.88,other,Mon,1934.0
1552.47,86.72,2247.32,passenger,Mon,1973.0
1011.0,129.3,3222.94,passenger,Mon,2015.0
1216.35,132.53,3216.82,other,Mon,2054.0
2006.65,75.82,2027.49,passenger,Mon,2062.0
1892.71,54.96,2341.65,passenger,Mon,2078.0
1585.71,103.65,2563.66,passenger,Mon,2084.0
1553.92,94.24,3290.2,passenger,Mon,2085.0
1667.05,103.49,2270.86,passenger,Mon,2109.0
1511.32,109.72,2937.52,other,Mon,2115.0
1532.69,90.94,3058.5,passenger,Mon,2149.0
1238.19,112.21,2190.26,passenger,Mon,2165.0
1666.38,94.6,3055.03,other,Mon,2174.0
2048.03,67.11,3316.49,passenger,Mon,2262.0
1245.6,112.35,3284.06,passenger,Mon,2271.0
1634.24,73.61,3094.2,passenger,Mon,2283.0
1328.91,92.0,2254.41,other,Mon,2286.0
1398.66,98.37,2647.7,passenger,Mon,2304.0
1445.41,95.74,2769.45,passenger,Mon,2327.0
1987.05,79.16,2483.59,passenger,Mon,2350.0
1075.67,135.53,2623.78,passenger,Mon,2381.0
1167.89,109.91,2315.75,passenger,Mon,2423.0
1112.98,124.32,2069.32,passenger,Mon,2424.0
1727.68,76.78,3296.11,passenger,Mon,2424.0
1704.31,73.45,2831.57,passenger,Mon,2450.0
1340.36,114.2,3282.83,other,Mon,2458.0
1366.83,110.52,2977.79,passenger,Mon,2471.0
1354.52,114.67,3009.52,passenger,Mon,2532.0
1338.21,89.86,3366.81,passenger,Mon,2625.0
976.01,91.61,3349.18,other,Mon,2646.0
1272.24,113.67,3263.17,passenger,Mon,2674.0
1699.41,90.28,2988.11,passenger,Mon,2683.0
1728.94,100.97,2096.52,passenger,Mon,2715.0
1104.92,112.58,2480.07,passenger,Mon,2726.0
1342.55,117.9,2116.76,passenger,Mon,2730.0
1557.49,107.58,2912.62,passenger,Mon,2731.0
1232.8,50.92,3238.55,other,Mon,2754.0
1518.99,95.94,3232.1,passenger,Mon,2772.0
1313.91,122.82,2998.0,passenger,Mon,2776.0
1676.49,95.49,2194.98,passenger,Mon,2813.0
1787.0,78.23,2428.94,passenger,Mon,2819.0
1478.02,103.67,3337.22,passenger,Mon,2838.0
1052.95,134.18,3150.43,passenger,Mon,2863.0
1180.51,126.5,3051.25,passenger,Mon,2895.0
1621.95,104.45,2633.38,passenger,Mon,2928.0
1326.44,108.94,2795.4,passenger,Mon,2935.0
1705.79,94.28,3448.61,passenger,Mon,2949.0
1939.12,64.42,2546.76,passenger,Mon,2960.0
1890.73,76.92,3058.13,passenger,Mon,3010.0
1523.38,96.25,2164.31,passenger,Mon,3038.0
1291.22,112.83,2587.69,passenger,Mon,3041.0
1961.13,69.14,3163.94,passenger,Mon,3049.0
1124.06,127.67,3260.68,passenger,Mon,3067.0
1705.85,86.25,2164.29,passenger,Mon,3067.0
1891.15,82.3,2811.82,other,Mon,3096.0
1569.34,119.38,3312.37,other,Mon,3131.0
1332.43,117.38,2787.68,passenger,Mon,3165.0
1297.97,109.95,3287.1,passenger,Mon,3184.0
1153.91,129.53,2488.98,passenger,Mon,3220.0
1403.0,96.81,2476.14,passenger,Mon,3283.0
1244.48,117.34,2389.23,passenger,Mon,3292.0
1470.68,85.09,2442.61,passenger,Mon,3318.0
1318.69,116.11,2783.1,passenger,Mon,3320.0
1212.5,118.14,3490.94,passenger,Mon,3341.0
1670.08,99.26,3450.64,passenger,Mon,3342.0
1087.82,81.99,3073.04,other,Mon,3349.0
1862.59,66.0,2259.13,passenger,Mon,3412.0
1185.34,99.67,3026.11,other,Mon,3445.0
1813.8,54.15,3430.08,passenger,Mon,3458.0
1654.06,78.1,2944.39,passenger,Mon,3458.0
1310.14,114.06,3240.66,passenger,Mon,3470.0
1835.0,84.53,2154.62,passenger,Mon,3472.0
1814.3,67.88,2523.64,passenger,Mon,3481.0
1436.08,114.22,3029.11,passenger,Mon,3507.0
1632.06,60.86,2479.05,other,Mon,3521.0
1342.17,99.93,3215.14,passenger,Mon,3555.0
1537.56,90.46,2709.73,passenger,Mon,3569.0
1174.15,132.24,3395.58,passenger,Mon,3610.0
1863.76,76.2,2645.21,passenger,Mon,3647.0
1387.84,102.89,3191.34,passenger,Mon,3660.0
1763.67,81.5,3319.23,passenger,Mon,3673.0
1502.96,104.1,2611.33,other,Mon,3679.0
1111.36,105.07,3203.87,passenger,Mon,3684.0
1459.84,100.61,2967.33,passenger,Mon,3691.0
1619.81,116.68,2282.84,other,Mon,3695.0
1739.18,78.34,2419.23,passenger,Mon,3708.0
1954.91,59.59,2103.36,passenger,Mon,3736.0
1786.47,83.76,2078.04,passenger,Mon,3756.0
1197.39,106.96,2835.32,passenger,Mon,3794.0
1763.46,90.19,2277.54,passenger,Mon,3803.0
1782.99,96.21,2740.17,passenger,Mon,3823.0
1153.95,86.21,2262.89,other,Mon,3853.0
1394.54,115.29,2548.92,passenger,Mon,3861.0
1931.05,69.34,2545.98,passenger,Mon,3865.0
1845.25,77.77,2132.78,passenger,Mon,3883.0
2168.41,45.36,3311.06,passenger,Mon,3936.0
1903.84,74.2,3215.79,passenger,Mon,3943.0
1381.86,108.91,2472.06,passenger,Mon,3978.0
1859.31,77.07,2295.95,passenger,Mon,3981.0
1787.19,94.3,2302.51,other,Mon,3995.0
1332.09,96.66,2271.03,passenger,Mon,4002.0
1508.53,85.94,3250.59,passenger,Mon,4022.0
1495.83,121.45,3394.06,other,Mon,4056.0
1931.28,89.36,2532.41,passenger,Mon,4078.0
1646.05,98.94,2828.63,passenger,Mon,4104.0
1699.92,90.52,2907.53,passenger,Mon,4120.0
2142.38,63.71,2029.71,passenger,Mon,4122.0
1725.15,90.98,2817.16,passenger,Mon,4165.0
1608.49,96.99,3412.1,passenger,Mon,4205.0
1362.85,104.62,3342.18,passenger,Mon,4209.0
1440.36,123.66,2040.12,other,Mon,4211.0
1039.18,123.74,3111.74,passenger,Mon,4235.0
1801.77,84.4,2632.11,passenger,Mon,4239.0
1171.44,105.36,3053.58,passenger,Mon,4248.0
1459.78,97.73,3338.39,passenger,Mon,4261.0
1692.04,114.79,3161.51,other,Mon,4330.0
2239.55,48.15,2193.04,passenger,Mon,4336.0
1225.18,112.06,2467.47,passenger,Mon,4343.0
961.89,127.85,2313.29,passenger,Mon,4346.0
1851.29,85.8,2291.68,passenger,Mon,4359.0
1650.34,94.59,3380.76,passenger,Mon,4361.0
1302.58,114.3,2626.21,passenger,Mon,4363.0
1119.83,114.86,2844.74,passenger,Mon,4365.0
1862.22,90.01,3436.32,passenger,Mon,4394.0
1562.48,98.5,3222.69,passenger,Mon,4404.0
940.94,135.39,2880.72,passenger,Mon,4410.0
1586.3,96.83,3250.45,passenger,Mon,4481.0
1219.8,124.02,2766.13,passenger,Mon,4487.0
1146.94,95.3,2991.62,other,Mon,4496.0
1703.02,86.73,3196.22,passenger,Mon,4498.0
1931.8,75.82,3282.27,passenger,Mon,4502.0
2061.32,108.93,3074.49,other,Mon,4530.0
1125.95,103.17,2688.15,other,Mon,4540.0
1362.2,93.68,3119.82,other,Mon,4563.0
1194.2,110.6,3106.74,passenger,Mon,4583.0
1212.54,124.41,2084.72,passenger,Mon,4656.0
1796.39,73.16,2075.03,passenger,Mon,4660.0
1304.08,93.71,3470.6,passenger,Mon,4662.0
1169.64,126.83,2988.41,passenger,Mon,4669.0
1670.52,95.27,3192.92,passenger,Mon,4674.0
1276.04,116.29,2842.33,other,Mon,4690.0
1267.14,117.39,2603.2,passenger,Mon,4691.0
1350.38,93.48,3294.12,passenger,Mon,4692.0
1677.63,111.11,2491.63,passenger,Mon,4701.0
1776.04,68.89,2813.91,passenger,Mon,4718.0
1731.18,87.43,2588.6,passenger,Mon,4718.0
1856.96,95.7,3219.05,other,Mon,4749.0
1511.89,122.18,2685.57,passenger,Mon,4751.0
1216.82,104.6,3226.25,passenger,Mon,4759.0
1320.26,99.97,3478.44,passenger,Mon,4762.0
1185.85,130.93,2152.73,passenger,Mon,4767.0
813.29,147.63,2936.52,passenger,Mon,4780.0
1357.1,97.84,2657.2,passenger,Mon,4787.0
1775.34,79.25,2769.53,passenger,Mon,4823.0
1856.31,70.19,2195.78,other,Mon,4834.0
1096.65,97.07,3456.2,other,Mon,4835.0
1497.51,90.99,3090.84,passenger,Mon,4841.0
1627.26,107.84,2169.7,other,Mon,4852.0
1988.34,68.75,3454.29,passenger,Mon,4860.0
1293.46,109.52,3462.26,passenger,Mon,4907.0
1824.99,72.66,3390.56,passenger,Mon,4925.0
1072.36,126.04,2054.6,passenger,Mon,4964.0
1971.44,63.13,2436.12,passenger,Mon,4973.0
1632.02,99.94,2610.92,passenger,Mon,4991.0
676.08,162.02,3120.01,passenger,Mon,5002.0
2018.7,93.04,3127.21,other,Mon,5041.0
1469.12,91.48,2136.11,passenger,Mon,5044.0
1796.24,76.99,3012.32,passenger,Mon,5045.0
1486.01,95.91,2540.38,passenger,Mon,5055.0
1672.85,76.8,2372.79,passenger,Mon,5072.0
1949.41,70.88,2838.01,passenger,Mon,5105.0
991.74,141.7,2180.28,passenger,Mon,5111.0
1872.84,86.0,2690.77,passenger,Mon,5111.0
1857.26,94.84,3262.96,other,Mon,5131.0
1617.33,104.86,2528.12,passenger,Mon,5158.0
1270.37,128.08,3486.13,passenger,Mon,5167.0
1508.83,83.63,3301.68,passenger,Mon,5179.0
1897.83,84.69,2756.21,passenger,Mon,5181.0
2106.26,66.51,2809.69,passenger,Mon,5209.0
1152.43,120.93,3488.64,passenger,Mon,5212.0
1587.63,79.29,2371.56,other,Mon,5220.0
2177.7,59.07,2763.27,passenger,Mon,5238.0
1202.28,106.05,2055.49,passenger,Mon,5272.0
1415.89,107.55,2517.09,passenger,Mon,5283.0
1362.71,115.62,2179.76,passenger,Mon,5315.0
1570.79,88.34,2659.72,passenger,Mon,5362.0
2108.41,61.58,3369.73,passenger,Mon,5365.0
1227.59,102.9,2046.77,passenger,Mon,5375.0
1675.83,88.74,3052.43,passenger,Mon,5397.0
1303.58,113.95,2684.41,passenger,Mon,5416.0
1694.02,83.35,2513.66,passenger,Mon,5445.0
1492.53,115.4,2141.13,passenger,Mon,5451.0
1494.94,87.39,2263.72,other,Mon,5461.0
1639.92,85.52,3447.0,passenger,Mon,5462.0
1782.68,75.1,3488.53,passenger,Mon,5475.0
1262.1,122.17,3273.19,other,Mon,5496.0
1225.51,119.45,3198.43,passenger,Mon,5507.0
1952.99,107.8,3200.78,other,Mon,5550.0
1547.57,114.05,2339.4,passenger,Mon,5558.0
1932.26,71.58,2065.66,passenger,Mon,5573.0
1780.34,75.2,2858.67,passenger,Mon,5605.0
1812.18,64.82,3081.27,passenger,Mon,5675.0
1367.06,114.87,2735.36,passenger,Mon,5773.0
1131.03,114.04,2335.98,passenger,Mon,5786.0
1672.34,86.05,3368.35,other,Mon,5787.0
1390.73,98.39,2752.55,passenger,Mon,5791.0
1719.67,89.69,2485.92,passenger,Mon,5810.0
1050.68,91.97,2829.67,other,Mon,5812.0
1625.85,110.55,3221.04,passenger,Mon,5827.0
1837.67,88.44,2869.57,passenger,Mon,5834.0
1701.62,71.64,3161.06,passenger,Mon,5890.0
1323.79,107.13,3326.75,other,Mon,5914.0
1159.89,117.29,2564.3,passenger,Mon,5918.0
1248.87,101.02,2101.19,other,Mon,5934.0
1438.8,107.68,2163.03,passenger,Mon,5944.0
1392.23,115.68,2639.1,passenger,Mon,5994.0
1584.39,100.64,2061.05,passenger,Mon,5999.0
1039.74,90.64,3400.3,other,Mon,6017.0
814.77,143.6,3013.11,passenger,Mon,6039.0
1851.5,80.49,3384.02,passenger,Mon,6078.0
1460.05,109.28,2793.52,passenger,Mon,6094.0
984.3,117.79,2551.9,passenger,Mon,6099.0
1583.57,82.06,2006.31,passenger,Mon,6207.0
1049.73,126.58,2386.04,passenger,Mon,6228.0
1072.33,124.79,2798.02,passenger,Mon,6249.0
1156.94,123.1,3404.65,passenger,Mon,6307.0
1376.85,104.95,3410.11,passenger,Mon,6333.0
1324.85,124.15,3125.37,passenger,Mon,6377.0
1716.47,91.2,2177.75,passenger,Mon,6382.0
1748.58,88.64,3313.3,passenger,Mon,6397.0
1791.65,74.2,2397.62,passenger,Mon,6417.0
1432.86,117.74,2488.69,passenger,Mon,6421.0
1886.3,83.16,2191.95,passenger,Mon,6444.0
1619.55,94.34,2642.83,passenger,Mon,6459.0
1294.62,101.98,2660.17,other,Mon,6464.0
1779.21,131.93,2014.25,other,Mon,6490.0
1727.39,91.79,3142.79,passenger,Mon,6515.0
1301.97,103.39,2383.3,passenger,Mon,6552.0
1514.32,110.54,3472.31,passenger,Mon,6565.0
1718.68,97.77,2190.86,passenger,Mon,6571.0
1753.43,83.92,2265.19,passenger,Mon,6594.0
1221.71,77.7,2447.66,other,Mon,6641.0
1451.28,101.03,3438.76,passenger,Mon,6653.0
1326.32,101.92,3307.67,passenger,Mon,6671.0
2077.21,69.87,2886.56,passenger,Mon,6716.0
1909.32,81.81,2978.95,other,Mon,6735.0
1618.71,92.33,2823.46,passenger,Mon,6775.0
2115.81,70.0,2347.32,other,Mon,6790.0
1728.32,96.08,2084.15,passenger,Mon,6811.0
1407.04,95.74,3165.36,passenger,Mon,6821.0
1735.54,74.37,2609.54,passenger,Mon,6834.0
1134.91,110.35,2000.07,passenger,Mon,6866.0
1503.14,95.32,2659.92,passenger,Mon,6866.0
1145.53,116.59,3094.26,other,Mon,6874.0
1794.54,73.13,2022.37,passenger,Mon,6907.0
1635.27,114.16,2467.49,passenger,Mon,6914.0
1328.74,104.25,2957.71,passenger,Mon,6937.0
1180.81,121.38,2841.99,passenger,Mon,6979.0
1315.01,103.51,2283.71,passenger,Mon,7030.0
1798.92,83.47,2890.5,passenger,Mon,7037.0
1612.52,83.31,2998.34,passenger,Mon,7041.0
1520.57,86.03,2689.45,other,Mon,7048.0
1756.66,110.63,3343.74,other,Mon,7077.0
1809.61,79.07,3316.51,passenger,Mon,7079.0
1276.7,103.9,3032.11,passenger,Mon,7080.0
763.43,149.33,3412.84,passenger,Mon,7106.0
1571.04,103.69,3247.77,passenger,Mon,7130.0
1581.45,88.2,2587.64,passenger,Mon,7130.0
1789.6,79.12,3283.71,passenger,Mon,7163.0
1890.03,73.73,2835.57,passenger,Mon,7200.0
1317.43,84.84,3429.92,other,Mon,7225.0
1661.9,86.43,2181.39,passenger,Mon,7243.0
1869.22,94.47,3332.06,passenger,Mon,7254.0
1980.41,66.91,3039.44,passenger,Mon,7255.0
1816.8,75.81,2527.37,passenger,Mon,7270.0
1946.25,60.78,3089.78,passenger,Mon,7276.0
1639.67,86.92,2943.47,passenger,Mon,7343.0
2058.58,74.21,3242.76,passenger,Mon,7350.0
1194.82,108.37,3032.67,other,Mon,7447.0
1623.55,96.04,2037.64,passenger,Mon,7476.0
1509.27,106.25,3098.56,passenger,Mon,7493.0
1759.38,100.29,3266.96,passenger,Mon,7510.0
1390.0,105.12,2412.97,passenger,Mon,7529.0
1280.02,102.96,2505.71,passenger,Mon,7530.0
1623.89,103.89,2536.39,passenger,Mon,7534.0
1257.27,119.59,2529.27,passenger,Mon,7534.0
1386.14,108.92,3013.72,other,Mon,7537.0
1259.03,114.05,2674.42,passenger,Mon,7610.0
1049.3,136.13,3122.55,passenger,Mon,7639.0
1771.21,81.46,2802.94,passenger,Mon,7668.0
1511.43,93.19,3370.35,passenger,Mon,7682.0
1521.88,98.77,3416.69,passenger,Mon,7696.0
2273.1,60.45,2013.16,passenger,Mon,7698.0
1660.22,97.66,2755.71,passenger,Mon,7727.0
1638.23,89.17,2832.9,passenger,Mon,7747.0
1506.09,101.42,3380.37,passenger,Mon,7786.0
1278.58,114.18,2022.6,passenger,Mon,7798.0
1470.98,97.07,2188.01,passenger,Mon,7951.0
1508.72,114.78,3185.49,other,Mon,7964.0
1826.47,88.12,2223.43,passenger,Mon,7965.0
1571.51,103.29,3180.73,passenger,Mon,7979.0
1643.42,92.82,3430.29,passenger,Mon,7992.0
1448.47,108.13,3363.12,other,Mon,8013.0
1605.42,68.94,3322.81,passenger,Mon,8045.0
1056.14,124.9,3176.15,passenger,Mon,8105.0
1533.03,110.76,3485.48,passenger,Mon,8113.0
2105.69,60.72,3203.99,passenger,Mon,8132.0
1376.63,108.58,2123.33,passenger,Mon,8146.0
1379.54,100.87,3034.52,passenger,Mon,8170.0
1359.6,109.87,2003.37,passenger,Mon,8172.0
1794.75,112.54,2638.63,other,Mon,8177.0
1536.82,127.41,2021.18,other,Mon,8190.0
853.39,133.06,2721.47,passenger,Mon,8237.0
1630.16,83.67,3257.48,passenger,Mon,8257.0
1602.21,101.9,3023.85,passenger,Mon,8291.0
1114.85,119.07,3080.5,passenger,Mon,8328.0
1831.71,85.29,2659.31,passenger,Mon,8347.0
1548.08,99.52,3332.53,passenger,Mon,8376.0
1384.68,106.6,2102.5,passenger,Mon,8430.0
1305.98,107.72,2662.06,other,Mon,8431.0
1424.37,100.33,2830.56,passenger,Mon,8474.0
1645.6,105.43,2335.91,passenger,Mon,8476.0
1185.19,124.67,2285.38,passenger,Mon,8479.0
1729.92,95.64,2564.98,passenger,Mon,8487.0
1164.03,123.77,3135.4,passenger,Mon,8549.0
1472.89,97.37,2202.19,passenger,Mon,8563.0
1393.42,122.24,2819.45,passenger,Mon,8569.0
1077.59,120.93,3461.04,passenger,Mon,8584.0
1252.54,112.81,3372.64,passenger,Mon,8617.0
1225.64,96.76,3376.69,passenger,Mon,8654.0
1631.96,95.22,2716.4,passenger,Mon,8656.0
1363.46,117.21,2781.99,passenger,Mon,8672.0
1659.23,90.5,2310.49,passenger,Mon,8699.0
1247.94,119.66,2471.7,other,Mon,8713.0
1827.93,78.54,2590.61,passenger,Mon,8722.0
1801.24,87.61,3182.64,passenger,Mon,8797.0
1003.35,130.09,2549.83,passenger,Mon,8832.0
1791.61,82.59,2359.36,passenger,Mon,8850.0
1312.66,106.02,2450.74,passenger,Mon,8897.0
1592.45,90.93,2916.0,passenger,Mon,8906.0
1685.76,94.7,2460.57,passenger,Mon,8911.0
1225.38,116.38,3477.95,passenger,Mon,8930.0
1537.76,87.0,3211.69,passenger,Mon,8945.0
1390.83,94.45,2648.83,passenger,Mon,8952.0
1301.64,107.68,3161.78,passenger,Mon,8955.0
1765.07,77.03,3165.42,passenger,Mon,8973.0
1138.84,129.95,3014.24,passenger,Mon,8973.0
1699.25,76.63,2647.11,passenger,Mon,8999.0
1062.08,141.45,3385.84,passenger,Mon,9046.0
1411.42,96.8,3104.58,passenger,Mon,9067.0
1677.83,92.74,2220.11,passenger,Mon,9092.0
1535.44,73.81,3204.86,passenger,Mon,9092.0
1472.48,106.3,2052.15,passenger,Mon,9096.0
895.63,133.15,3368.39,passenger,Mon,9150.0
1480.87,96.93,2355.38,passenger,Mon,9165.0
1737.83,84.42,3218.93,passenger,Mon,9172.0
1260.46,119.6,2535.5,passenger,Mon,9185.0
1536.03,84.38,2454.51,passenger,Mon,9212.0
1364.46,115.27,2218.63,other,Mon,9213.0
1821.48,122.76,2804.28,other,Mon,9217.0
1714.88,99.59,2198.77,other,Mon,9239.0
1309.88,113.8,2444.82,passenger,Mon,9243.0
1562.07,106.73,2605.41,other,Mon,9300.0
1147.28,139.91,2998.96,passenger,Mon,9341.0
1636.98,129.15,3107.91,other,Mon,9345.0
1931.82,74.31,2368.71,passenger,Mon,9347.0
1944.81,107.46,3372.44,other,Mon,9353.0
1651.52,92.31,2154.78,passenger,Mon,9373.0
1736.01,96.72,3210.26,other,Mon,9379.0
1334.8,88.61,3443.28,other,Mon,9380.0
1822.53,86.32,2278.16,passenger,Mon,9418.0
1380.32,108.28,2815.46,passenger,Mon,9418.0
1165.88,130.66,2682.23,passenger,Mon,9421.0
1323.67,107.28,2531.76,passenger,Mon,9428.0
1352.31,101.85,2307.23,passenger,Mon,9480.0
2144.19,58.95,2914.54,passenger,Mon,9525.0
1254.85,118.26,3309.1,passenger,Mon,9532.0
1175.06,109.09,2174.22,passenger,Mon,9543.0
1534.14,103.14,2832.25,passenger,Mon,9543.0
1807.55,78.89,2312.17,passenger,Mon,9573.0
762.59,138.72,2088.0,passenger,Mon,9594.0
1635.53,93.6,2121.38,passenger,Mon,9604.0
1163.61,128.24,2283.14,passenger,Mon,9609.0
1099.72,126.58,2892.99,passenger,Mon,9616.0
1730.64,79.59,2150.27,passenger,Mon,9623.0
1635.13,93.08,2100.4,passenger,Mon,9627.0
2173.65,119.09,2825.36,other,Mon,9642.0
1573.16,83.03,2425.75,passenger,Mon,9649.0
1208.42,109.87,2669.05,passenger,Mon,9666.0
1922.13,80.08,3307.36,passenger,Mon,9691.0
1358.06,100.91,3291.53,passenger,Mon,9832.0
1546.01,93.02,2255.23,passenger,Mon,9833.0
1446.25,98.27,3183.76,other,Mon,9862.0
1429.91,108.54,2745.61,passenger,Mon,9901.0
1515.91,94.13,2369.2,passenger,Mon,9922.0
1339.95,116.66,2289.74,passenger,Mon,9954.0
1278.29,111.18,2765.7,passenger,Mon,9983.0
1660.53,96.35,2479.93,passenger,Mon,10024.0
1717.14,58.98,2649.27,other,Mon,10026.0
1136.69,123.69,3462.44,passenger,Mon,10061.0
1733.03,89.9,2438.91,passenger,Mon,10093.0
1888.78,59.57,2471.28,passenger,Mon,10105.0
1636.62,98.14,2956.53,passenger,Mon,10108.0
1440.14,110.7,2473.64,passenger,Mon,10119.0
1054.64,132.0,2235.34,passenger,Mon,10147.0
1409.83,107.01,2045.05,passenger,Mon,10149.0
1931.93,77.83,3485.25,passenger,Mon,10176.0
1779.91,72.82,2482.05,passenger,Mon,10179.0
1610.16,96.76,3178.17,passenger,Mon,10242.0
1684.58,112.21,2002.55,passenger,Mon,10245.0
2208.51,47.14,2933.78,passenger,Mon,10251.0
1699.14,99.68,3255.46,passenger,Mon,10271.0
1241.39,101.03,2648.14,passenger,Mon,10289.0
1956.5,74.4,2895.26,passenger,Mon,10295.0
1081.96,125.91,3014.29,passenger,Mon,10323.0
